Interval=	0.001 s
ExcelDateTime=	4.3508692196499695e+004	2/12/2019 16:36:45.777573
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 3
Range=	10.000 V	200.0 µV
0.328	-0.005	25.3
0.329	-0.005	29.9
0.33	-0.005	31.8
0.331	-0.005	31.6
0.332	-0.005	31.7
0.333	-0.005	27.6
0.334	-0.005	23.6
0.335	-0.005	18.0
0.336	-0.005	9.7
0.337	-0.005	5.2
0.338	-0.005	0.9
0.339	-0.005	-2.9
0.34	-0.005	-5.4
0.341	-0.005	-6.9
0.342	-0.005	-8.6
0.343	-0.005	-5.2
0.344	-0.005	-0.6
0.345	-0.005	3.4
0.346	-0.005	11.8
0.347	-0.005	16.3
0.348	-0.005	19.8
0.349	-0.005	24.1
0.35	-0.005	26.0
0.351	-0.005	27.0
0.352	-0.005	26.6
0.353	-0.005	22.3
0.354	-0.005	18.2
0.355	-0.005	12.6
0.356	-0.005	4.2
0.357	-0.005	-0.8
0.358	-0.005	-4.9
0.359	-0.005	-8.7
0.36	-0.005	-10.2
0.361	-0.005	-9.5
0.362	-0.005	-10.8
0.363	-0.005	-8.0
0.364	-0.005	-3.7
0.365	-0.005	0.5
0.366	-0.005	9.2
0.367	-0.005	13.5
0.368	-0.005	17.5
0.369	-0.005	23.0
0.37	-0.005	24.8
0.371	-0.005	24.1
0.372	-0.005	23.9
0.373	-0.005	20.8
0.374	-0.005	16.5
0.375	-0.005	11.5
0.376	-0.005	2.2
0.377	-0.005	-2.7
0.378	-0.005	-5.2
0.379	-0.005	-9.4
0.38	-0.005	-10.3
0.381	-0.005	-9.2
0.382	-0.005	-9.4
0.383	-0.005	-7.4
0.384	-0.005	-5.2
0.385	-0.005	-0.7
0.386	-0.005	8.1
0.387	-0.005	11.3
0.388	-0.005	13.1
0.389	-0.005	18.1
0.39	-0.005	21.4
0.391	-0.005	21.9
0.392	-0.005	21.5
0.393	-0.005	16.9
0.394	-0.005	12.3
0.395	-0.005	6.9
0.396	-0.005	-2.3
0.397	-0.005	-6.3
0.398	-0.005	-10.4
0.399	-0.005	-14.9
0.4	-0.005	-16.3
0.401	-0.005	-15.6
0.402	-0.005	-15.8
0.403	-0.005	-13.5
0.404	-0.005	-8.3
0.405	-0.005	-3.5
0.406	-0.005	4.2
0.407	-0.005	10.2
0.408	-0.005	13.8
0.409	-0.005	17.9
0.41	-0.005	21.4
0.411	-0.005	22.7
0.412	-0.005	23.7
0.413	-0.005	20.5
0.414	-0.005	14.7
0.415	-0.005	9.7
0.416	-0.005	1.5
0.417	-0.005	-3.6
0.418	-0.005	-6.7
0.419	-0.005	-11.2
0.42	-0.005	-13.9
0.421	-0.005	-13.6
0.422	-0.005	-13.4
0.423	-0.005	-9.9
0.424	-0.005	-5.5
0.425	-0.005	-2.1
0.426	-0.005	6.4
0.427	-0.005	12.0
0.428	-0.005	14.4
0.429	-0.005	20.1
0.43	-0.005	23.6
0.431	-0.005	22.6
0.432	-0.005	23.7
0.433	-0.005	21.9
0.434	-0.005	19.6
0.435	-0.005	16.5
0.436	-0.005	7.0
0.437	-0.005	1.0
0.438	-0.005	-1.7
0.439	-0.005	-6.4
0.44	-0.005	-10.1
0.441	-0.005	-10.0
0.442	-0.005	-10.9
0.443	-0.005	-9.6
0.444	-0.005	-6.2
0.445	-0.005	-3.6
0.446	-0.005	3.6
0.447	-0.005	8.1
0.448	-0.005	11.5
0.449	-0.005	16.3
0.45	-0.005	18.0
0.451	-0.005	17.7
0.452	-0.005	17.1
0.453	-0.005	13.8
0.454	-0.005	9.0
0.455	-0.005	3.8
0.456	-0.005	-2.5
0.457	-0.005	-5.4
0.458	-0.005	-7.2
0.459	-0.005	-11.0
0.46	-0.005	-14.1
0.461	-0.005	-13.2
0.462	-0.005	-14.0
0.463	-0.005	-13.0
0.464	-0.005	-8.9
0.465	-0.005	-5.3
0.466	-0.005	2.5
0.467	-0.005	6.1
0.468	-0.005	7.0
0.469	-0.005	12.3
0.47	-0.005	15.9
0.471	-0.005	15.2
0.472	-0.005	15.4
0.473	-0.005	12.4
0.474	-0.005	7.5
0.475	-0.005	2.7
0.476	-0.005	-4.5
0.477	-0.005	-8.1
0.478	-0.005	-11.6
0.479	-0.005	-16.6
0.48	-0.005	-17.9
0.481	-0.005	-17.5
0.482	-0.005	-18.4
0.483	-0.005	-14.8
0.484	-0.005	-11.5
0.485	-0.005	-8.8
0.486	-0.005	-0.7
0.487	-0.005	4.6
0.488	-0.005	8.3
0.489	-0.005	12.2
0.49	-0.005	14.4
0.491	-0.005	14.7
0.492	-0.005	15.2
0.493	-0.005	13.2
0.494	-0.005	10.4
0.495	-0.005	7.5
0.496	-0.005	-0.8
0.497	-0.005	-5.6
0.498	-0.005	-8.9
0.499	-0.005	-14.5
0.5	-0.005	-16.5
0.501	-0.005	-16.0
0.502	-0.005	-18.0
0.503	-0.005	-16.7
0.504	-0.005	-13.7
0.505	-0.005	-10.0
0.506	-0.005	-2.5
0.507	-0.005	2.0
0.508	-0.005	4.6
0.509	-0.005	8.4
0.51	-0.005	11.0
0.511	-0.005	10.5
0.512	-0.005	11.1
0.513	-0.005	9.0
0.514	-0.005	4.7
0.515	-0.005	1.1
0.516	-0.005	-6.2
0.517	-0.005	-11.2
0.518	-0.005	-14.6
0.519	-0.005	-19.5
0.52	-0.005	-21.7
0.521	-0.005	-22.3
0.522	-0.005	-22.4
0.523	-0.005	-19.6
0.524	-0.005	-16.9
0.525	-0.005	-13.1
0.526	-0.005	-5.5
0.527	-0.005	-1.1
0.528	-0.005	2.4
0.529	-0.005	7.4
0.53	-0.005	9.2
0.531	-0.005	7.9
0.532	-0.005	8.7
0.533	-0.005	5.8
0.534	-0.005	1.7
0.535	-0.005	-1.9
0.536	-0.005	-10.1
0.537	-0.005	-13.9
0.538	-0.005	-16.9
0.539	-0.005	-21.3
0.54	-0.005	-22.7
0.541	-0.005	-22.6
0.542	-0.005	-23.5
0.543	-0.005	-22.9
0.544	-0.005	-19.9
0.545	-0.005	-17.3
0.546	-0.005	-9.9
0.547	-0.005	-4.0
0.548	-0.005	-1.8
0.549	-0.005	3.8
0.55	-0.005	6.4
0.551	-0.005	5.8
0.552	-0.005	7.3
0.553	-0.005	4.2
0.554	-0.005	0.6
0.555	-0.005	-4.1
0.556	-0.005	-13.0
0.557	-0.005	-16.6
0.558	-0.005	-20.1
0.559	-0.005	-25.8
0.56	-0.005	-28.1
0.561	-0.005	-28.0
0.562	-0.005	-28.9
0.563	-0.005	-25.0
0.564	-0.005	-20.7
0.565	-0.005	-17.5
0.566	-0.005	-10.0
0.567	-0.005	-6.3
0.568	-0.005	-2.4
0.569	-0.005	3.7
0.57	-0.005	6.5
0.571	-0.005	5.2
0.572	-0.005	6.2
0.573	-0.005	6.4
0.574	-0.005	1.2
0.575	-0.005	-2.6
0.576	-0.005	-9.3
0.577	-0.005	-13.6
0.578	-0.005	-14.5
0.579	-0.005	-17.6
0.58	-0.005	-21.0
0.581	-0.005	-21.5
0.582	-0.005	-22.7
0.583	-0.005	-21.7
0.584	-0.005	-17.9
0.585	-0.005	-14.4
0.586	-0.005	-8.0
0.587	-0.005	-4.3
0.588	-0.005	0.4
0.589	-0.005	6.6
0.59	-0.005	9.0
0.591	-0.005	9.0
0.592	-0.005	9.2
0.593	-0.005	7.2
0.594	-0.005	3.9
0.595	-0.005	1.9
0.596	-0.005	-3.1
0.597	-0.005	-7.5
0.598	-0.005	-8.9
0.599	-0.005	-12.0
0.6	-0.005	-14.9
0.601	-0.005	-14.4
0.602	-0.005	-14.4
0.603	-0.005	-12.3
0.604	-0.005	-8.8
0.605	-0.005	-6.8
0.606	-0.005	-0.5
0.607	-0.005	4.8
0.608	-0.005	7.3
0.609	-0.005	11.4
0.61	-0.005	14.4
0.611	-0.005	14.6
0.612	-0.005	15.1
0.613	-0.005	13.8
0.614	-0.005	9.3
0.615	-0.005	3.0
0.616	-0.005	-3.8
0.617	-0.005	-6.8
0.618	-0.005	-7.6
0.619	-0.005	-10.8
0.62	-0.005	-14.0
0.621	-0.005	-13.6
0.622	-0.005	-14.0
0.623	-0.005	-13.1
0.624	-0.005	-9.8
0.625	-0.005	-6.6
0.626	-0.005	0.3
0.627	-0.005	5.1
0.628	-0.005	7.4
0.629	-0.005	10.7
0.63	-0.005	13.4
0.631	-0.005	13.5
